index,param,value
634,traffic_density,10
634,side_detector_distance,0
636,map,10
636,traffic_density,10
636,side_detector_distance,0
639,map,10
639,traffic_density,10
639,side_detector_distance,0
641,map,10
641,traffic_density,10
641,side_detector_distance,0
644,map,10
644,traffic_density,10
644,side_detector_distance,0
648,map,10
648,traffic_density,10
648,side_detector_distance,0
649,map,10
649,traffic_density,10
649,side_detector_distance,0
650,map,10
650,traffic_density,10
650,side_detector_distance,0
653,map,10
653,traffic_density,10
653,side_detector_distance,0
656,map,10
656,traffic_density,10
656,side_detector_distance,0
657,map,10
657,traffic_density,10
657,side_detector_distance,0
658,map,10
658,traffic_density,10
658,side_detector_distance,0
661,map,10
661,traffic_density,10
661,side_detector_distance,0
665,map,10
665,traffic_density,10
665,side_detector_distance,0
671,map,10
671,traffic_density,10
671,side_detector_distance,0
674,map,8
674,traffic_density,10
674,side_detector_distance,0
675,map,10
675,traffic_density,10
675,side_detector_distance,0
678,map,10
678,traffic_density,10
678,side_detector_distance,0
679,map,10
679,traffic_density,10
679,side_detector_distance,0
683,map,10
683,traffic_density,10
683,side_detector_distance,0
686,map,10
686,traffic_density,10
686,side_detector_distance,0
688,map,10
688,traffic_density,10
688,side_detector_distance,0
689,map,10
689,traffic_density,10
689,side_detector_distance,0
690,map,10
690,traffic_density,10
690,side_detector_distance,0
691,map,10
691,traffic_density,10
691,side_detector_distance,0
692,map,10
692,traffic_density,10
692,side_detector_distance,0
695,map,10
695,traffic_density,10
695,side_detector_distance,0
701,map,10
701,traffic_density,10
701,side_detector_distance,0
702,map,10
702,traffic_density,10
702,side_detector_distance,0
705,map,10
705,traffic_density,10
705,side_detector_distance,0
706,map,10
706,traffic_density,10
706,side_detector_distance,0
708,map,10
708,traffic_density,10
708,side_detector_distance,0
715,map,10
715,traffic_density,10
715,side_detector_distance,0
717,map,10
717,traffic_density,10
717,side_detector_distance,0
721,map,10
721,traffic_density,10
721,side_detector_distance,0
723,map,10
723,traffic_density,10
723,side_detector_distance,0
724,map,10
724,traffic_density,10
724,side_detector_distance,0
728,map,10
728,traffic_density,10
728,side_detector_distance,0
729,map,10
729,traffic_density,10
729,side_detector_distance,0
731,map,10
731,traffic_density,10
731,side_detector_distance,0
732,map,10
732,traffic_density,10
732,side_detector_distance,0
733,map,10
733,traffic_density,10
733,side_detector_distance,0
739,map,10
739,traffic_density,10
739,side_detector_distance,0
740,map,10
740,traffic_density,10
740,side_detector_distance,0
742,map,10
742,traffic_density,10
742,side_detector_distance,0
746,map,10
746,traffic_density,10
746,side_detector_distance,0
747,map,10
747,traffic_density,10
